      x               rho             U               p               u
      0.181875        1.000000        0.000000        1.000000        2.500000
      0.183125        1.000000        0.000000        1.000000        2.500000
      0.184375        1.000000        0.000000        1.000000        2.500000
      0.185625        1.000000        0.000000        1.000000        2.500000
      0.186875        1.000000        0.000000        1.000000        2.500000
      0.188125        1.000000        0.000000        1.000000        2.500000
      0.189375        1.000000        0.000000        1.000000        2.500000
      0.190625        1.000000        0.000000        1.000000        2.500000
      0.191875        1.000000        0.000000        1.000000        2.500000
      0.193125        1.000000        0.000000        1.000000        2.500000
      0.194375        1.000000        0.000000        1.000000        2.500000
      0.195625        1.000000        0.000000        1.000000        2.500000
      0.196875        1.000000        0.000000        1.000000        2.500000
      0.198125        1.000000        0.000000        1.000000        2.500000
      0.199375        1.000000        0.000000        1.000000        2.500000
      0.200625        1.000000        0.000000        1.000000        2.500000
      0.201875        1.000000        0.000000        1.000000        2.500000
      0.203125        1.000000        0.000000        1.000000        2.500000
      0.204375        0.999496        0.000597        0.999294        2.499496
      0.205625        0.995981        0.004763        0.994377        2.495976
      0.206875        0.992476        0.008930        0.989482        2.492459
      0.208125        0.988980        0.013097        0.984606        2.488944
      0.209375        0.985494        0.017263        0.979751        2.485431
      0.210625        0.982019        0.021430        0.974917        2.481921
      0.211875        0.978553        0.025597        0.970104        2.478414
      0.213125        0.975097        0.029763        0.965310        2.474909
      0.214375        0.971651        0.033930        0.960538        2.471406
      0.215625        0.968214        0.038097        0.955785        2.467906
      0.216875        0.964787        0.042263        0.951052        2.464408
      0.218125        0.961370        0.046430        0.946340        2.460913
      0.219375        0.957963        0.050597        0.941647        2.457421
      0.220625        0.954565        0.054763        0.936975        2.453931
      0.221875        0.951177        0.058930        0.932322        2.450443
      0.223125        0.947799        0.063097        0.927690        2.446958
      0.224375        0.944430        0.067263        0.923077        2.443475
      0.225625        0.941071        0.071430        0.918483        2.439995
      0.226875        0.937721        0.075597        0.913910        2.436518
      0.228125        0.934381        0.079763        0.909355        2.433042
      0.229375        0.931050        0.083930        0.904820        2.429569
      0.230625        0.927729        0.088097        0.900305        2.426099
      0.231875        0.924417        0.092263        0.895809        2.422631
      0.233125        0.921116        0.096430        0.891333        2.419166
      0.234375        0.917823        0.100597        0.886875        2.415703
      0.235625        0.914540        0.104763        0.882437        2.412243
      0.236875        0.911266        0.108930        0.878017        2.408785
