x,T,p,U_0,U_1,U_2
0.828125,1,0.4,2,0,0
0.829375,1,0.4,2,0,0
0.830625,1,0.4,2,0,0
0.831875,1,0.4,2,0,0
0.833125,1,0.4,2,0,0
0.834375,1,0.4,2,0,0
0.835625,1,0.4,2,0,0
0.836875,1,0.4,2,0,0
0.838125,1,0.4,2,0,0
0.839375,1,0.4,2,0,0
0.840625,1,0.4,2,0,0
0.841875,1,0.4,2,0,0
0.843125,1,0.4,2,0,0
0.844375,1,0.4,2,0,0
0.845625,1,0.4,2,0,0
0.846875,1,0.4,2,0,0
0.848125,1,0.4,2,0,0
0.849375,1,0.4,2,0,0
0.850625,1,0.4,2,0,0
0.851875,1,0.4,2,0,0
0.853125,1,0.4,2,0,0
0.854375,1,0.4,2,0,0
0.855625,1,0.4,2,0,0
0.856875,1,0.4,2,0,0
0.858125,1,0.4,2,0,0
0.859375,1,0.4,2,0,0
0.860625,1,0.4,2,0,0
0.861875,1,0.4,2,0,0
0.863125,1,0.4,2,0,0
0.864375,1,0.4,2,0,0
0.865625,1,0.4,2,0,0
0.866875,1,0.4,2,0,0
0.868125,1,0.4,2,0,0
0.869375,1,0.4,2,0,0
0.870625,1,0.4,2,0,0
0.871875,1,0.4,2,0,0
0.873125,1,0.4,2,0,0
0.874375,1,0.4,2,0,0
0.875625,1,0.4,2,0,0
0.876875,1,0.4,2,0,0
0.878125,1,0.4,2,0,0
0.879375,1,0.4,2,0,0
0.880625,1,0.4,2,0,0
0.881875,1,0.4,2,0,0
0.883125,1,0.4,2,0,0
0.884375,1,0.4,2,0,0
0.885625,1,0.4,2,0,0
0.886875,1,0.4,2,0,0
0.888125,1,0.4,2,0,0
0.889375,1,0.4,2,0,0
0.890625,1,0.4,2,0,0
0.891875,1,0.4,2,0,0
0.893125,1,0.4,2,0,0
0.894375,1,0.4,2,0,0
0.895625,1,0.4,2,0,0
0.896875,1,0.4,2,0,0
0.898125,1,0.4,2,0,0
0.899375,1,0.4,2,0,0
0.900625,1,0.4,2,0,0
0.901875,1,0.4,2,0,0
0.903125,1,0.4,2,0,0
0.904375,1,0.4,2,0,0
0.905625,1,0.4,2,0,0
0.906875,1,0.4,2,0,0
0.908125,1,0.4,2,0,0
0.909375,1,0.4,2,0,0
0.910625,1,0.4,2,0,0
0.911875,1,0.4,2,0,0
0.913125,1,0.4,2,0,0
0.914375,1,0.4,2,0,0
0.915625,1,0.4,2,0,0
0.916875,1,0.4,2,0,0
0.918125,1,0.4,2,0,0
0.919375,1,0.4,2,0,0
0.920625,1,0.4,2,0,0
0.921875,1,0.4,2,0,0
0.923125,1,0.4,2,0,0
0.924375,1,0.4,2,0,0
0.925625,1,0.4,2,0,0
0.926875,1,0.4,2,0,0
0.928125,1,0.4,2,0,0
0.929375,1,0.4,2,0,0
0.930625,1,0.4,2,0,0
0.931875,1,0.4,2,0,0
0.933125,1,0.4,2,0,0
0.934375,1,0.4,2,0,0
0.935625,1,0.4,2,0,0
0.936875,1,0.4,2,0,0
0.938125,1,0.4,2,0,0
0.939375,1,0.4,2,0,0
0.940625,1,0.4,2,0,0
0.941875,1,0.4,2,0,0
0.943125,1,0.4,2,0,0
0.944375,1,0.4,2,0,0
0.945625,1,0.4,2,0,0
0.946875,1,0.4,2,0,0
0.948125,1,0.4,2,0,0
0.949375,1,0.4,2,0,0
0.950625,1,0.4,2,0,0
0.951875,1,0.4,2,0,0
0.953125,1,0.4,2,0,0
0.954375,1,0.4,2,0,0
0.955625,1,0.4,2,0,0
0.956875,1,0.4,2,0,0
0.958125,1,0.4,2,0,0
0.959375,1,0.4,2,0,0
0.960625,1,0.4,2,0,0
0.961875,1,0.4,2,0,0
0.963125,1,0.4,2,0,0
0.964375,1,0.4,2,0,0
0.965625,1,0.4,2,0,0
0.966875,1,0.4,2,0,0
0.968125,1,0.4,2,0,0
0.969375,1,0.4,2,0,0
0.970625,1,0.4,2,0,0
0.971875,1,0.4,2,0,0
0.973125,1,0.4,2,0,0
0.974375,1,0.4,2,0,0
0.975625,1,0.4,2,0,0
0.976875,1,0.4,2,0,0
0.978125,1,0.4,2,0,0
0.979375,1,0.4,2,0,0
0.980625,1,0.4,2,0,0
0.981875,1,0.4,2,0,0
0.983125,1,0.4,2,0,0
0.984375,1,0.4,2,0,0
0.985625,1,0.4,2,0,0
0.986875,1,0.4,2,0,0
0.988125,1,0.4,2,0,0
0.989375,1,0.4,2,0,0
0.990625,1,0.4,2,0,0
0.991875,1,0.4,2,0,0
0.993125,1,0.4,2,0,0
