x p rho alpha1 U rho1 rho2
0.982500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.987500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.992500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
0.997500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.002500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.007500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.012500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.017500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.022500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.027500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.032500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.037500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.042500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.047500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.052500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.057500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.062500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.067500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.072500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.077500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.082500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.087500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.092500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.097500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.102500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.107500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.112500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.117500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.122500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
1.127500 100000.000000 997.598000 1.000000 10.000000 997.598000 1.158210
